sha256,representative_path,active_script_group,active_closure_group,active_copy_count,all_copy_count,disposition,candidate_ids,basis,measurement_method,authority,source_metadata_role,static_flags,review_depth
00ae52a70004e9ff9c660265f8c37da559f18e68fc11c048c3937e85ea6fe2b0,submodules/yss-harness-design-agent/scripts/lib/digital-human-roles.mjs,True,False,2,2,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
02e94032f2db7aa456d42fcf500c6ffa3964ef3d5aefbc45d95274f295c621c9,submodules/yss-harness-frontend-agent/scripts/lib/lifecycle-transition.mjs,True,False,1,1,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
033609270cc867da0fdc210f6ddf8fab57bfd06e85fb4ddf78245b85287deb07,submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions,True,False,4,4,candidate-caller,P01,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
039affa62d7d07d7381135408ee81570396061d53908a8d57869f4177295cb89,submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs,True,False,3,9,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,test,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
040cf68a1f774ae44c50315f62dd67d2df143baea27e43e7f95510ee0e21d254,submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios,True,False,4,4,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7,.agents/skills/archify/scripts/generate-brand-marks.mjs,True,False,6,26,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
0444f9a8011e7ace80813620ac06f2f8e3f033fe4d64c51c53b16342746acd53,submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
052a687ff8fe40bf72e64f30b12799588d862608d7226c0121915dd8a4f37c2b,submodules/yss-harness-backend-agent/scripts/verify-frontend-implementation-evidence-scenarios,True,False,1,1,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d,scripts/lib/scaffold-local-database.mjs,True,False,6,6,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof
065e2ba223752f4a81a48f31eea41625e9f638547605ff4736297f38b0a0a8e0,scripts/instantiate-harness,True,False,8,8,candidate-caller,P06,已核对枚举/同步；strategic同步会比较字节再写，已具无变化快路,只读源码抽样核对；隔离真实输入计时；若关联候选则采用其验证设计,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof
