sha256,representative_path,active_script_group,active_closure_group,active_copy_count,all_copy_count,disposition,candidate_ids,basis,measurement_method,authority,source_metadata_role,static_flags,review_depth,optimization_disposition,source_authorities,source_routing,known_callers_lexical,current_source_hashes,changed_sources,candidate_ids_final,distribution_copies,observed_module_loads,observed_function_entries,verification_entry,evidence_basis,measurement_limit
00ae52a70004e9ff9c660265f8c37da559f18e68fc11c048c3937e85ea6fe2b0,submodules/yss-harness-design-agent/scripts/lib/digital-human-roles.mjs,True,False,2,2,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-design-agent/scripts/lib/digital-human-roles.mjs""]","{""submodules/yss-harness-design-agent/scripts/lib/digital-human-roles.mjs"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}","[""submodules/create-yss-strategic-design/template/scripts/fixtures/strategic-handoff/fixture.mjs"", ""submodules/create-yss-strategic-design/template/scripts/lib/approval-record.mjs"", ""submodules/create-yss-strategic-design/template/scripts/lib/harness-profile.mjs"", ""submodules/create-yss-strategic-design/template/scripts/lib/strategic-handoff.mjs"", ""submodules/create-yss-strategic-design/template/scripts/lib/task-package.mjs"", ""submodules/create-yss-strategic-design/template/scripts/lib/user-decision.mjs"", ""submodules/create-yss-strategic-design/template/scripts/verify-digital-human-roles"", ""submodules/create-yss-strategic-design/template/scripts/verify-digital-human-roles-scenarios"", ""submodules/create-yss-strategic-design/template/scripts/verify-plan-spec-entry-scenarios"", ""submodules/yss-harness-design-agent/scripts/fixtures/strategic-handoff/fixture.mjs"", ""submodules/yss-harness-design-agent/scripts/lib/approval-record.mjs"", ""submodules/yss-harness-design-agent/scripts/lib/harness-profile.mjs"", ""submodules/yss-harness-design-agent/scripts/lib/strategic-handoff.mjs"", ""submodules/yss-harness-design-agent/scripts/lib/task-package.mjs"", ""submodules/yss-harness-design-agent/scripts/lib/user-decision.mjs"", ""submodules/yss-harness-design-agent/scripts/verify-digital-human-roles"", ""submodules/yss-harness-design-agent/scripts/verify-digital-human-roles-scenarios"", ""submodules/yss-harness-design-agent/scripts/verify-plan-spec-entry-scenarios""]","{""submodules/yss-harness-design-agent/scripts/lib/digital-human-roles.mjs"": ""00ae52a70004e9ff9c660265f8c37da559f18e68fc11c048c3937e85ea6fe2b0""}",[],,"[""submodules/create-yss-strategic-design/template/scripts/lib/digital-human-roles.mjs""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
02e94032f2db7aa456d42fcf500c6ffa3964ef3d5aefbc45d95274f295c621c9,submodules/yss-harness-frontend-agent/scripts/lib/lifecycle-transition.mjs,True,False,1,1,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-frontend-agent/scripts/lib/lifecycle-transition.mjs""]","{""submodules/yss-harness-frontend-agent/scripts/lib/lifecycle-transition.mjs"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}","[""submodules/yss-harness-frontend-agent/scripts/lib/scenario-checks.mjs"", ""submodules/yss-harness-frontend-agent/scripts/lib/task-package.mjs"", ""submodules/yss-harness-frontend-agent/scripts/verify-frontend-delivery-scenarios"", ""submodules/yss-harness-frontend-agent/scripts/verify-lifecycle-transition-scenarios""]","{""submodules/yss-harness-frontend-agent/scripts/lib/lifecycle-transition.mjs"": ""02e94032f2db7aa456d42fcf500c6ffa3964ef3d5aefbc45d95274f295c621c9""}",[],,[],0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
033609270cc867da0fdc210f6ddf8fab57bfd06e85fb4ddf78245b85287deb07,submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions,True,False,4,4,candidate-caller,P01,命中候选函数/调用链；可能含字符串/注释，非独立瓶颈证明,沿实际调用链归因，见候选设计；不要据regex删除检查,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decisions"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decisions""]","{""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decisions"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decisions"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}","[""submodules/create-yss-harness-dev/template/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/create-yss-harness-dev/template/scripts/verify-scaffold-architecture-decisions"", ""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decisions"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decisions""]","{""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decisions"": ""033609270cc867da0fdc210f6ddf8fab57bfd06e85fb4ddf78245b85287deb07"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decisions"": ""033609270cc867da0fdc210f6ddf8fab57bfd06e85fb4ddf78245b85287deb07"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decisions"": ""033609270cc867da0fdc210f6ddf8fab57bfd06e85fb4ddf78245b85287deb07""}",[],P01,"[""submodules/create-yss-harness-dev/template/scripts/verify-scaffold-architecture-decisions""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
039affa62d7d07d7381135408ee81570396061d53908a8d57869f4177295cb89,submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs,True,False,3,9,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,test,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-backend-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs""]","{""submodules/yss-harness-backend-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template""}",[],"{""submodules/yss-harness-backend-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs"": ""039affa62d7d07d7381135408ee81570396061d53908a8d57869f4177295cb89"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs"": ""039affa62d7d07d7381135408ee81570396061d53908a8d57869f4177295cb89""}",[],,"[""submodules/create-yss-harness-dev/template/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/scaffold-generator.test.mjs""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
040cf68a1f774ae44c50315f62dd67d2df143baea27e43e7f95510ee0e21d254,submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios,True,False,4,4,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decision-scenarios""]","{""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}",[],"{""submodules/yss-harness-backend-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""040cf68a1f774ae44c50315f62dd67d2df143baea27e43e7f95510ee0e21d254"", ""submodules/yss-harness-dev-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""040cf68a1f774ae44c50315f62dd67d2df143baea27e43e7f95510ee0e21d254"", ""submodules/yss-harness-frontend-agent/scripts/verify-scaffold-architecture-decision-scenarios"": ""040cf68a1f774ae44c50315f62dd67d2df143baea27e43e7f95510ee0e21d254""}",[],,"[""submodules/create-yss-harness-dev/template/scripts/verify-scaffold-architecture-decision-scenarios""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7,.agents/skills/archify/scripts/generate-brand-marks.mjs,True,False,6,26,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"["".agents/skills/archify/scripts/generate-brand-marks.mjs"", ""submodules/yss-harness-backend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"", ""submodules/yss-harness-dev-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"", ""submodules/yss-harness-frontend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs""]","{"".agents/skills/archify/scripts/generate-brand-marks.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template"", ""submodules/yss-harness-backend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template"", ""submodules/yss-harness-dev-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template"", ""submodules/yss-harness-frontend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""所属仓 .agents/skills 权威目录 → update-skill-lock / sync-skills → 所属 CLI sync-template""}",[],"{"".agents/skills/archify/scripts/generate-brand-marks.mjs"": ""0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7"", ""submodules/yss-harness-backend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7"", ""submodules/yss-harness-dev-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7"", ""submodules/yss-harness-frontend-agent/.agents/skills/archify/scripts/generate-brand-marks.mjs"": ""0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7""}",[],,"[""submodules/create-yss-harness-dev/template/.agents/skills/archify/scripts/generate-brand-marks.mjs"", ""submodules/create-yss-spec/template/.agents/skills/archify/scripts/generate-brand-marks.mjs""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
0444f9a8011e7ace80813620ac06f2f8e3f033fe4d64c51c53b16342746acd53,submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios,True,False,2,2,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios""]","{""submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}","[""submodules/create-yss-harness-dev/template/scripts/verify-template-verification-scenarios"", ""submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios""]","{""submodules/yss-harness-dev-agent/scripts/verify-template-verification-scenarios"": ""0444f9a8011e7ace80813620ac06f2f8e3f033fe4d64c51c53b16342746acd53""}",[],,"[""submodules/create-yss-harness-dev/template/scripts/verify-template-verification-scenarios""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
052a687ff8fe40bf72e64f30b12799588d862608d7226c0121915dd8a4f37c2b,submodules/yss-harness-backend-agent/scripts/verify-frontend-implementation-evidence-scenarios,True,False,1,1,fixture-test-only,,断言/回归入口；是否启动真实环境需沿callee区分,隔离执行对应测试，区分mock/真实构建/外部资源,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""submodules/yss-harness-backend-agent/scripts/verify-frontend-implementation-evidence-scenarios""]","{""submodules/yss-harness-backend-agent/scripts/verify-frontend-implementation-evidence-scenarios"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}",[],"{""submodules/yss-harness-backend-agent/scripts/verify-frontend-implementation-evidence-scenarios"": ""052a687ff8fe40bf72e64f30b12799588d862608d7226c0121915dd8a4f37c2b""}",[],,[],0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d,scripts/lib/scaffold-local-database.mjs,True,False,6,6,static-no-confirmed-hotspot,,词法/路径分类，未证明性能正常,按真实调用频率与输入规模采样；有证据再扩大分析,unknown-unless-candidate-explicitly-establishes-source,library,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": false}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""scripts/lib/scaffold-local-database.mjs"", ""submodules/yss-harness-backend-agent/scripts/lib/scaffold-local-database.mjs"", ""submodules/yss-harness-dev-agent/scripts/lib/scaffold-local-database.mjs"", ""submodules/yss-harness-frontend-agent/scripts/lib/scaffold-local-database.mjs""]","{""scripts/lib/scaffold-local-database.mjs"": ""本体脚本权威；通过本体 CLI manifest/sync-template 分发；入口由完整核验 profile 选择"", ""submodules/yss-harness-backend-agent/scripts/lib/scaffold-local-database.mjs"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-dev-agent/scripts/lib/scaffold-local-database.mjs"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template"", ""submodules/yss-harness-frontend-agent/scripts/lib/scaffold-local-database.mjs"": ""所属 Harness 持有 profile 变体；仅移植已核对的性能变更 → 所属 CLI sync-template""}","["".agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs"", "".agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs"", "".agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/create-yss-harness-dev/template/.agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/create-yss-harness-dev/template/.agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs"", ""submodules/create-yss-harness-dev/template/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/create-yss-spec/template/.agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/create-yss-spec/template/.agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs"", ""submodules/create-yss-spec/template/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/yss-harness-backend-agent/.agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/yss-harness-backend-agent/.agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs"", ""submodules/yss-harness-backend-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs"", ""submodules/yss-harness-dev-agent/.agents/skills/yss-layered-mvc-scaffold-generator/scripts/generate_scaffold.mjs""]","{""scripts/lib/scaffold-local-database.mjs"": ""060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d"", ""submodules/yss-harness-backend-agent/scripts/lib/scaffold-local-database.mjs"": ""060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d"", ""submodules/yss-harness-dev-agent/scripts/lib/scaffold-local-database.mjs"": ""060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d"", ""submodules/yss-harness-frontend-agent/scripts/lib/scaffold-local-database.mjs"": ""060b6b80a79cdb5fdcfdf9ed66b7f975e5877632227f68de82782a99fa08c77d""}",[],,"[""submodules/create-yss-harness-dev/template/scripts/lib/scaffold-local-database.mjs"", ""submodules/create-yss-spec/template/scripts/lib/scaffold-local-database.mjs""]",40,115,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
065e2ba223752f4a81a48f31eea41625e9f638547605ff4736297f38b0a0a8e0,scripts/instantiate-harness,True,False,8,8,candidate-caller,P06,已核对枚举/同步；strategic同步会比较字节再写，已具无变化快路,只读源码抽样核对；隔离真实输入计时；若关联候选则采用其验证设计,unknown-unless-candidate-explicitly-establishes-source,cli,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",manual-candidate-or-automatic-classification-not-function-level-proof,测量后保留,"[""scripts/instantiate-harness""]","{""scripts/instantiate-harness"": ""本体脚本权威；通过本体 CLI manifest/sync-template 分发；入口由完整核验 profile 选择""}","["".template-source/cli-core/build.mjs"", "".template-source/cli-core/io.mjs"", "".template-source/cli-core/scaffold.mjs"", "".template-source/scripts/verify-delivery-harness-distribution.mjs"", ""scripts/sync-strategic-handoff-tools"", ""submodules/create-yss-spec/template/scripts/sync-strategic-handoff-tools"", ""submodules/yss-harness-backend-agent/scripts/lib/instance-distribution.mjs"", ""submodules/yss-harness-frontend-agent/scripts/lib/instance-distribution.mjs""]","{""scripts/instantiate-harness"": ""065e2ba223752f4a81a48f31eea41625e9f638547605ff4736297f38b0a0a8e0""}",[],P06,"[""submodules/create-yss-harness-dev/template/scripts/instantiate-harness"", ""submodules/create-yss-spec/template/scripts/instantiate-harness"", ""submodules/create-yss-strategic-design/template/scripts/instantiate-harness"", ""submodules/yss-harness-backend-agent/scripts/instantiate-harness"", ""submodules/yss-harness-design-agent/scripts/instantiate-harness"", ""submodules/yss-harness-dev-agent/scripts/instantiate-harness"", ""submodules/yss-harness-frontend-agent/scripts/instantiate-harness""]",0,0,logs/validation-after-recovery-0.stdout; runs.jsonl; final-refresh-results.json; distribution-results-corrected.json,采样维护入口调用频次、目录/输入规模后未取得应增加复杂度的独立热点证据；保留现实现。 未取得可绑定此 SHA 的 V8 加载样本；临时模块可能已随夹具清理，不能把缺少可绑定样本解释成线上零调用或性能正常。,V8 观察是维护夹具入口频次，非线上调用频率；未观察到的实现未作逐函数性能通过声明。输入尺度详见 report.md。
